id,domain,natural_language,proto_code,split
proto_000,ordini,"Crea servizio per ordini con order id, customer id","syntax = ""proto3"";

message Ordino {
  string order_id = 1;
  string customer_id = 2;
}

message OrdinoList {
  repeated Ordino items = 1;
}

message Empty {}

message OrdinoId {
  string id = 1;
}

service OrdinoService {
  rpc GetAll (Empty) returns (OrdinoList);
  rpc GetById (OrdinoId) returns (Ordino);
  rpc Create (Ordino) returns (Ordino);
}",train
proto_001,pagamenti,"Gestisci pagamenti con transazione id, importo","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
}",train
proto_002,chat,"Gestisci chat con messaggio id, mittente, testo","syntax = ""proto3"";

message Chat {
  string messaggio_id = 1;
  string mittente = 2;
  string testo = 3;
}

message ChatList {
  repeated Chat items = 1;
}

message Empty {}

message ChatId {
  string id = 1;
}
",train
proto_003,pagamenti,"Gestisci pagamenti con transazione id, importo","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
}",train
proto_004,sensori,"Sistema di sensori con sensore id, temperatura","syntax = ""proto3"";

message Sensoro {
  string sensore_id = 1;
  double temperatura = 2;
}

message SensoroList {
  repeated Sensoro items = 1;
}

message Empty {}

message SensoroId {
  string id = 1;
}

service SensoroService {
  rpc GetAll (Empty) returns (SensoroList);
  rpc GetById (SensoroId) returns (Sensoro);
  rpc Create (Sensoro) returns (Sensoro);
}",train
proto_005,pagamenti,"Gestisci pagamenti con transazione id, importo, valuta","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
  string valuta = 3;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
}",train
proto_006,prodotti,"Crea servizio per prodotti con sku, nome, prezzo","syntax = ""proto3"";

message Prodotto {
  string sku = 1;
  string nome = 2;
  double prezzo = 3;
}

message ProdottoList {
  repeated Prodotto items = 1;
}

message Empty {}

message ProdottoId {
  string id = 1;
}

service ProdottoService {
  rpc GetAll (Empty) returns (ProdottoList);
  rpc GetById (ProdottoId) returns (Prodotto);
  rpc Create (Prodotto) returns (Prodotto);
}",train
proto_007,pagamenti,"Sistema di pagamenti con transazione id, importo, valuta","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
  string valuta = 3;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}
",train
proto_008,ordini,"API per ordini con order id, customer id, totale","syntax = ""proto3"";

message Ordino {
  string order_id = 1;
  string customer_id = 2;
  double totale = 3;
}

message OrdinoList {
  repeated Ordino items = 1;
}

message Empty {}

message OrdinoId {
  string id = 1;
}

service OrdinoService {
  rpc GetAll (Empty) returns (OrdinoList);
  rpc GetById (OrdinoId) returns (Ordino);
  rpc Create (Ordino) returns (Ordino);
}",train
proto_009,utenti,"Sistema di utenti con email, nome, cognome","syntax = ""proto3"";

message Utento {
  string email = 1;
  string nome = 2;
  string cognome = 3;
}

message UtentoList {
  repeated Utento items = 1;
}

message Empty {}

message UtentoId {
  string id = 1;
}

service UtentoService {
  rpc GetAll (Empty) returns (UtentoList);
  rpc GetById (UtentoId) returns (Utento);
  rpc Create (Utento) returns (Utento);
}",train
proto_010,ordini,"API per ordini con order id, customer id, totale","syntax = ""proto3"";

message Ordino {
  string order_id = 1;
  string customer_id = 2;
  double totale = 3;
}

message OrdinoList {
  repeated Ordino items = 1;
}

message Empty {}

message OrdinoId {
  string id = 1;
}

service OrdinoService {
  rpc GetAll (Empty) returns (OrdinoList);
  rpc GetById (OrdinoId) returns (Ordino);
  rpc Create (Ordino) returns (Ordino);
}",train
proto_011,chat,"Gestisci chat con messaggio id, mittente","syntax = ""proto3"";

message Chat {
  string messaggio_id = 1;
  string mittente = 2;
}

message ChatList {
  repeated Chat items = 1;
}

message Empty {}

message ChatId {
  string id = 1;
}

service ChatService {
  rpc GetAll (Empty) returns (ChatList);
  rpc GetById (ChatId) returns (Chat);
  rpc Create (Chat) returns (Chat);
}",train
proto_012,pagamenti,"Crea servizio per pagamenti con transazione id, importo, valuta","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
  string valuta = 3;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
}",train
proto_013,ordini,"API per ordini con order id, customer id, totale","syntax = ""proto3"";

message Ordino {
  string order_id = 1;
  string customer_id = 2;
  double totale = 3;
}

message OrdinoList {
  repeated Ordino items = 1;
}

message Empty {}

message OrdinoId {
  string id = 1;
}

service OrdinoService {
  rpc GetAll (Empty) returns (OrdinoList);
  rpc GetById (OrdinoId) returns (Ordino);
  rpc Create (Ordino) returns (Ordino);
}",train
proto_014,prodotti,"API per prodotti con sku, nome, prezzo","syntax = ""proto3"";

message Prodotto {
  string sku = 1;
  string nome = 2;
  double prezzo = 3;
}

message ProdottoList {
  repeated Prodotto items = 1;
}

message Empty {}

message ProdottoId {
  string id = 1;
}

service ProdottoService {
  rpc GetAll (Empty) returns (ProdottoList);
  rpc GetById (ProdottoId) returns (Prodotto);
  rpc Create (Prodotto) returns (Prodotto);
}",train
proto_015,ordini,"Crea servizio per ordini con order id, customer id","syntax = ""proto3"";

message Ordino {
  string order_id = 1;
  string customer_id = 2;
}

message OrdinoList {
  repeated Ordino items = 1;
}

message Empty {}

message OrdinoId {
  string id = 1;
}

service OrdinoService {
  rpc GetAll (Empty) returns (OrdinoList);
  rpc GetById (OrdinoId) returns (Ordino);
  rpc Create (Ordino) returns (Ordino);
}",train
proto_016,prodotti,"Crea servizio per prodotti con sku, nome, prezzo","syntax = ""proto3"";

message Prodotto {
  string sku = 1;
  string nome = 2;
  double prezzo = 3;
}

message ProdottoList {
  repeated Prodotto items = 1;
}

message Empty {}

message ProdottoId {
  string id = 1;
}

service ProdottoService {
  rpc GetAll (Empty) returns (ProdottoList);
  rpc GetById (ProdottoId) returns (Prodotto);
  rpc Create (Prodotto) returns (Prodotto);
}",train
proto_017,notifiche,"Gestisci notifiche con notifica id, utente id","syntax = ""proto3"";

message Notifiche {
  string notifica_id = 1;
  string utente_id = 2;
}

message NotificheList {
  repeated Notifiche items = 1;
}

message Empty {}

message NotificheId {
  string id = 1;
}

service NotificheService {
  rpc GetAll (Empty) returns (NotificheList);
  rpc GetById (NotificheId) returns (Notifiche);
  rpc Create (Notifiche) returns (Notifiche);
}",train
proto_018,notifiche,"Crea servizio per notifiche con notifica id, utente id, titolo","syntax = ""proto3"";

message Notifiche {
  string notifica_id = 1;
  string utente_id = 2;
  string titolo = 3;
}

message NotificheList {
  repeated Notifiche items = 1;
}

message Empty {}

message NotificheId {
  string id = 1;
}

service NotificheService {
  rpc GetAll (Empty) returns (NotificheList);
  rpc GetById (NotificheId) returns (Notifiche);
  rpc Create (Notifiche) returns (Notifiche);
}",train
proto_019,chat,"Sistema di chat con messaggio id, mittente, testo","syntax = ""proto3"";

message Chat {
  string messaggio_id = 1;
  string mittente = 2;
  string testo = 3;
}

message ChatList {
  repeated Chat items = 1;
}

message Empty {}

message ChatId {
  string id = 1;
}

service ChatService {
  rpc GetAll (Empty) returns (ChatList);
  rpc GetById (ChatId) returns (Chat);
  rpc Create (Chat) returns (Chat);
}",train
proto_020,autenticazione,"Crea servizio per autenticazione con username, token, scadenza","syntax = ""proto3"";

message Autenticazione {
  string username = 1;
  string token = 2;
  int64 scadenza = 3;
}

message AutenticazioneList {
  repeated Autenticazione items = 1;
}

message Empty {}

message AutenticazioneId {
  string id = 1;
}
",train
proto_021,pagamenti,"Sistema di pagamenti con transazione id, importo, valuta","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
  string valuta = 3;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
}",train
