id,domain,natural_language,proto_code,split
proto_00000,file,"API file con campi file id, nome, dimensione","syntax = ""proto3"";

message Fila {
  string file_id = 1;
  string nome = 2;
  int64 dimensione = 3;
}

message FilaList {
  repeated Fila items = 1;
}

message Empty {}

message FilaId {
  string id = 1;
}

service FilaService {
  rpc GetAll (Empty) returns (FilaList);
  rpc GetById (FilaId) returns (Fila);
  rpc Create (Fila) returns (Fila);
  rpc Update (Fila) returns (Fila);
  rpc Delete (FilaId) returns (Empty);
}",train
proto_00001,abbonamenti,"CRUD per entita abbonamenti (abbonamento id, utente id, piano, inizio)","syntax = ""proto3"";

message Abbonamento {
  string abbonamento_id = 1;
  string utente_id = 2;
  string piano = 3;
  string inizio = 4;
}

message AbbonamentoList {
  repeated Abbonamento items = 1;
}

message Empty {}

message AbbonamentoId {
  string id = 1;
}

service AbbonamentoService {
  rpc GetAll (Empty) returns (AbbonamentoList);
  rpc GetById (AbbonamentoId) returns (Abbonamento);
  rpc Create (Abbonamento) returns (Abbonamento);
  rpc Update (Abbonamento) returns (Abbonamento);
  rpc Delete (AbbonamentoId) returns (Empty);
}",train
proto_00002,recensioni,"Endpoint per entita recensioni (recensione id, prodotto id, valutazione, testo, verificata)con notifiche real-time","syntax = ""proto3"";

message Recensiono {
  string recensione_id = 1;
  string prodotto_id = 2;
  int32 valutazione = 3;
  string testo = 4;
  bool verificata = 5;
}

message RecensionoList {
  repeated Recensiono items = 1;
}

message Empty {}

message RecensionoId {
  string id = 1;
}

service RecensionoService {
  rpc GetAll (Empty) returns (RecensionoList);
  rpc GetById (RecensionoId) returns (Recensiono);
  rpc Create (Recensiono) returns (Recensiono);
  rpc Update (Recensiono) returns (Recensiono);
  rpc Delete (RecensionoId) returns (Empty);
}",train
proto_00003,ordini,"CRUD per entita ordini (order id, customer id, totale)con autenticazione","syntax = ""proto3"";

message Ordino {
  string order_id = 1;
  string customer_id = 2;
  double totale = 3;
}

message OrdinoList {
  repeated Ordino items = 1;
}

message Empty {}

message OrdinoId {
  string id = 1;
}

service OrdinoService {
  rpc GetAll (Empty) returns (OrdinoList);
  rpc GetById (OrdinoId) returns (Ordino);
  rpc Create (Ordino) returns (Ordino);
  rpc Update (Ordino) returns (Ordino);
  rpc Delete (OrdinoId) returns (Empty);
}",train
proto_00004,pagamenti,"Microservizio pagamenti con transazione id, importo, valuta, metodo e statocon audit log","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
  string valuta = 3;
  string metodo = 4;
  string stato = 5;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
  rpc Update (Pagamento) returns (Pagamento);
  rpc Delete (PagamentoId) returns (Empty);
}",train
proto_00005,recensioni,"Servizio recensioni: recensione id, prodotto id, valutazione","syntax = ""proto3"";

message Recensiono {
  string recensione_id = 1;
  string prodotto_id = 2;
  int32 valutazione = 3;
}

message RecensionoList {
  repeated Recensiono items = 1;
}

message Empty {}

message RecensionoId {
  string id = 1;
}

service RecensionoService {
  rpc GetAll (Empty) returns (RecensionoList);
  rpc GetById (RecensionoId) returns (Recensiono);
  rpc Create (Recensiono) returns (Recensiono);
  rpc Update (Recensiono) returns (Recensiono);
  rpc Delete (RecensionoId) returns (Empty);
}",train
proto_00006,notifiche,"Servizio notifiche: notifica id, utente id, titolo, messaggio, lettacon cache Redis","syntax = ""proto3"";

message Notificha {
  string notifica_id = 1;
  string utente_id = 2;
  string titolo = 3;
  string messaggio = 4;
  bool letta = 5;
}

message NotifichaList {
  repeated Notificha items = 1;
}

message Empty {}

message NotifichaId {
  string id = 1;
}

service NotifichaService {
  rpc GetAll (Empty) returns (NotifichaList);
  rpc GetById (NotifichaId) returns (Notificha);
  rpc Create (Notificha) returns (Notificha);
  rpc Update (Notificha) returns (Notificha);
  rpc Delete (NotifichaId) returns (Empty);
}",train
proto_00007,pagamenti,"Gestisci entita pagamenti (transazione id, importo)con filtri avanzati","syntax = ""proto3"";

message Pagamento {
  string transazione_id = 1;
  double importo = 2;
}

message PagamentoList {
  repeated Pagamento items = 1;
}

message Empty {}

message PagamentoId {
  string id = 1;
}

service PagamentoService {
  rpc GetAll (Empty) returns (PagamentoList);
  rpc GetById (PagamentoId) returns (Pagamento);
  rpc Create (Pagamento) returns (Pagamento);
  rpc Update (Pagamento) returns (Pagamento);
  rpc Delete (PagamentoId) returns (Empty);
}",train
proto_00008,notifiche,"Gestione entita notifiche (notifica id, utente id, titolo, messaggio, letta)con notifiche real-time","syntax = ""proto3"";

message Notificha {
  string notifica_id = 1;
  string utente_id = 2;
  string titolo = 3;
  string messaggio = 4;
  bool letta = 5;
}

message NotifichaList {
  repeated Notificha items = 1;
}

message Empty {}

message NotifichaId {
  string id = 1;
}

service NotifichaService {
  rpc GetAll (Empty) returns (NotifichaList);
  rpc GetById (NotifichaId) returns (Notificha);
  rpc Create (Notificha) returns (Notificha);
  rpc Update (Notificha) returns (Notificha);
  rpc Delete (NotifichaId) returns (Empty);
}",train
proto_00009,abbonamenti,"Servizio abbonamenti: abbonamento id, utente id, piano","syntax = ""proto3"";

message Abbonamento {
  string abbonamento_id = 1;
  string utente_id = 2;
  string piano = 3;
}

message AbbonamentoList {
  repeated Abbonamento items = 1;
}

message Empty {}

message AbbonamentoId {
  string id = 1;
}

service AbbonamentoService {
  rpc GetAll (Empty) returns (AbbonamentoList);
  rpc GetById (AbbonamentoId) returns (Abbonamento);
  rpc Create (Abbonamento) returns (Abbonamento);
  rpc Update (Abbonamento) returns (Abbonamento);
  rpc Delete (AbbonamentoId) returns (Empty);
}",train
